abandoned,124
abe,152
ability,151
able,176
abortion,135
about,216
above,156
absolute,144
absolutely,166
absurd,124
abuse,145
abused,126
abusive,133
academic,123
accent,139
accept,153
acceptable,137
accepted,139
accepting,128
access,149
accident,147
accidentally,142
according,146
account,162
accounts,137
accurate,138
accused,127
ache,144
achieve,131
achievement,126
acid,131
acknowledge,126
across,162
act,162
acted,127
acting,151
action,191
actions,144
active,140
actively,134
activities,130
activity,135
actor,139
actors,137
actress,123
acts,131
actual,163
actually,193
ad,139
adam,131
add,166
added,147
addicted,134
addiction,136
adding,137
addition,129
additional,126
address,146
adds,125
Adi,136
adjust,124
admin,128
admit,149
admitted,126
adopted,126
adorable,132
ads,136
adult,133
adults,145
advance,135
advanced,130
advantage,139
adventure,135
advertising,130
advice,162
affect,137
affected,128
afford,149
afraid,154
african,130
after,198
afternoon,147
afterwards,139
again,189
against,171
agar,165
age,175
aged,126
agency,124
agent,131
ages,136
aggressive,133
ago,178
agree,171
agreed,137
agreement,123
ah,152
aha,132
ahead,151
aid,129
aids,124
aim,128
ain't,150
air,161
airport,141
Ajay,131
aka,134
ala,145
alarm,137
album,151
albums,124
alcohol,153
alcoholic,128
ale,130
alert,127
alex,126
Ali,129
alien,135
aliens,132
alive,154
all,217
allah,130
allow,163
allowed,160
allowing,128
allows,134
almost,179
alone,169
along,171
already,180
alright,144
also,197
alternative,132
although,156
always,196
am,203
amateur,123
amazed,127
amazing,176
amazon,138
ame,123
amendment,125
americans,152
amharic,150
ami,170
Amit,133
among,143
amount,165
amounts,132
amr,142
amy,125
An,213
ana,140
ancient,129
And,247
andaman,150
android,134
angel,131
anger,136
angle,126
angry,153
ani,155
animal,150
animals,152
animated,125
anime,137
anna,139
anniversary,133
announce,123
announced,127
annoyed,134
annoying,154
annual,130
another,184
answer,178
answered,136
answering,129
answers,161
anta,129
ante,131
anti,131
anxiety,150
anxious,126
any,206
anybody,147
anymore,167
anyone,182
anything,189
anytime,136
anyway,161
anyways,141
anywhere,152
apart,148
apartment,149
apologize,132
app,164
apparently,161
appeal,128
appear,134
appearance,130
appears,130
apple,150
apples,124
application,130
applied,130
applies,131
apply,146
applying,124
appointment,127
appreciate,155
appreciated,131
approach,137
appropriate,171
approved,138
apps,135
apse,130
aram,123
are,225
area,165
areas,145
aren't,178
argue,145
arguing,136
argument,153
arguments,132
arm,147
armed,126
arms,147
army,144
around,192
arrested,138
arrive,126
arrived,133
arrow,127
art,157
article,149
articles,130
artist,141
artists,134
arts,134
as,220
asa,124
asap,128
ashamed,130
asian,142
aside,145
ask,181
asked,177
asking,167
asks,146
asleep,150
aspect,132
aspects,124
assamese,150
assault,138
assignment,125
assistance,138
assistant,125
associated,127
assume,157
assumed,139
assuming,146
assumption,124
at,221
ate,152
atheist,127
atlanta,129
atmosphere,129
attached,134
attack,154
attacked,127
attacks,134
attempt,143
attempted,123
attempting,123
attempts,124
attend,135
attended,123
attending,128
attention,160
attitude,145
attracted,135
attraction,123
attractive,149
audience,139
audio,136
August,127
aunt,140
aunty,130
austin,144
australian,130
author,130
authority,126
autism,128
auto,137
automatic,126
automatically,187
Available,154
Avatar,125
ave,131
avengers,126
average,157
avoid,154
aw,130
awake,140
award,132
awards,126
aware,149
awareness,126
away,185
awesome,176
awful,154
awhile,136
awkward,154
aye,146
azerbaijani,150
baal,145
baba,147
babe,130
babies,143
Babu,163
Baby,176
back,202
background,145
backwards,133
backyard,123
bacon,140
bad,196
bade,157
badly,139
bag,158
bags,139
baked,125
Bal,145
Bala,124
balance,141
ball,153
balls,149
baltimore,125
ban,155
banana,138
band,171
banda,132
bands,135
bang,139
bank,154
banks,124
banned,141
bar,179
barbuda,150
bare,158
barely,150
Bari,145
bars,140
bartender,127
base,148
baseball,143
based,163
basement,135
basic,151
basically,170
basis,138
basketball,141
bass,134
bat,177
bate,123
bath,137
bathroom,157
batman,136
battery,136
battle,145
bay,139
be,225
beach,150
beans,132
bear,148
beard,131
bears,135
beast,129
beat,161
beaten,123
beating,134
beats,134
beautiful,169
beauty,142
became,157
because,210
become,168
becomes,147
becoming,145
bed,171
bedroom,140
bee,125
beech,150
beef,135
been,204
Beer,163
beers,133
bees,123
before,197
began,138
begin,147
beginning,148
begins,134
behan,144
behave,124
behavior,144
behaviour,123
behind,168
being,200
beings,127
belief,135
beliefs,135
believe,181
believed,139
believes,131
believing,131
bell,136
belly,129
belong,126
below,143
belt,133
ben,133
bench,125
bend,123
benefit,141
benefits,141
Benin,150
bernie,132
beside,123
besides,141
best,194
bet,155
beta,154
bete,127
better,193
between,175
beyond,150
bf,131
bias,128
biased,126
bible,139
big,186
bigger,151
biggest,154
bike,157
bill,158
billion,135
bills,142
billy,123
bin,132
bio,125
biological,123
biology,125
bird,137
birds,133
birth,151
birthday,173
bit,180
bite,142
bits,131
bitter,129
bizarre,125
black,176
blade,124
blah,133
blame,148
blank,128
blanket,131
blast,139
bleeding,127
bless,138
blessed,134
blew,137
blind,144
block,155
blocked,129
blocks,127
blog,144
blonde,126
blood,160
blow,146
blowing,132
blown,134
blows,126
blue,160
board,151
boat,142
bob,136
bobble,127
bodies,135
body,171
bola,181
bole,160
bolo,166
bomb,141
bond,129
bone,136
bones,131
bonus,134
boo,133
book,175
booked,124
books,162
boom,126
boor,128
boot,128
booth,132
boots,131
booze,126
border,131
bore,130
bored,149
boring,154
born,160
boss,157
boston,139
bot,184
both,184
bother,146
bothered,135
bothers,124
bottle,155
bottles,134
bottom,148
bought,164
bound,127
bout,145
bow,123
bowl,145
box,178
boxes,132
boy,165
boyfriend,159
boys,157
bra,134
brain,160
brains,128
branch,127
brand,150
brands,124
brave,126
bread,145
break,169
breakfast,150
breaking,150
breaks,157
breast,127
breasts,123
breath,140
breathe,131
breathing,132
brian,123
brick,124
bride,138
bridge,136
brief,123
bright,140
brilliant,136
bring,168
bringing,142
brings,139
bro,167
broke,160
broken,154
bros,126
brother,168
brother's,124
brothers,143
brought,156
brown,148
bruce,123
brush,133
brutal,126
bubble,126
bucket,129
bucks,135
bud,129
buddies,128
buddy,151
budget,140
buffalo,127
bug,129
bugs,130
build,154
building,159
buildings,129
built,148
bull,128
bullet,136
bullied,124
bullshit,156
bully,124
bullying,123
bunch,162
burger,138
burgers,125
buried,129
burn,146
burned,134
burning,137
burns,124
burnt,123
burst,124
bus,170
bush,137
business,169
businesses,131
bust,123
busy,166
but,227
butter,146
button,145
buy,176
buying,152
by,207
bye,162
cab,128
cable,137
cafe,129
cage,129
cake,149
cal,139
caledonia,150
calendar,123
california,144
call,191
called,178
calling,157
calls,152
calm,141
calories,133
cam,125
came,181
camera,149
cameras,127
camp,142
campaign,145
camping,125
campus,139
can,215
can't,198
canadian,141
cancel,127
cancelled,127
cancer,152
candidate,146
candidates,142
candy,144
cannot,167
cans,124
cap,131
capable,137
capacity,124
capital,129
caps,125
captain,133
car,182
card,161
cards,148
care,180
cared,131
career,153
careful,138
cares,143
caring,134
carolina,126
carpet,125
carried,127
carry,150
carrying,132
cars,156
cart,127
cartoon,133
case,171
cases,146
cash,151
cashier,126
cast,143
castle,125
casual,134
casually,124
cat,160
catch,156
catching,131
category,126
catholic,134
cats,147
caught,159
cause,171
caused,144
causes,138
causing,136
cebuano,150
ceiling,128
celebrate,141
celebrating,128
celebration,123
celebrity,132
cell,145
cells,125
center,152
central,137
centre,124
century,129
cereal,129
ceremony,126
certain,163
certainly,152
ch,123
cha,144
Chad,134
Chain,140
chair,141
challenge,140
chance,167
chances,138
change,180
changed,159
changes,149
changing,147
channel,142
chap,136
chapter,129
char,130
character,164
characterised,129
characters,158
charge,150
charged,132
charges,131
charging,125
charity,129
charlie,126
chase,131
chasing,126
chat,167
chatting,131
che,151
cheap,156
cheaper,140
cheat,131
cheated,132
cheating,139
check,179
checked,144
checking,144
checks,139
cheer,126
cheese,158
cheesy,123
chef,130
chemical,127
chemistry,130
cherry,124
chest,141
chicago,148
chick,139
chicken,157
chicks,128
child,178
child's,128
childhood,144
children,167
children's,139
chili,123
chill,143
chin,123
China,143
chinese,145
chip,129
chips,136
chlo,139
chocolate,151
choice,160
choices,141
choose,157
choosing,128
chose,139
chosen,126
chris,140
christ,140
christian,141
christians,124
christmas,158
chu,137
chuck,127
church,151
cigarette,132
cigarettes,134
cinema,126
circle,139
circumstances,133
cities,140
citizen,129
citizens,134
city,170
civil,140
claim,147
claimed,130
claiming,129
claims,134
clan,123
class,179
classes,153
classic,145
classroom,130
clean,161
cleaned,128
cleaning,144
clear,174
clearly,154
clever,130
click,146
clicked,123
client,137
client's,124
clients,134
climate,131
climb,127
climbing,124
clinton,154
clip,127
clock,136
close,172
closed,149
closer,146
closest,134
closet,132
closing,132
clothes,154
clothing,136
cloud,128
clown,136
clowns,128
club,155
clubs,125
clue,138
coach,139
coaching,123
coast,140
coat,127
cocaine,128
code,151
coffee,165
coke,141
cold,163
collect,131
collection,138
college,176
color,153
colors,134
colour,136
com,169
combat,135
combination,132
combined,129
combo,124
come,191
comedy,144
comes,173
comfort,135
comfortable,148
comic,137
comics,124
coming,177
command,123
comment,169
comments,176
commercial,141
commercials,131
commit,133
committed,135
common,163
communicate,128
communication,133
communities,124
community,156
commute,131
Comoros,150
companies,148
company,167
company's,133
compare,136
compared,147
comparing,123
comparison,132
competition,135
competitive,126
complain,143
complaining,136
complete,157
completed,125
completely,171
complex,141
complicated,135
compliment,132
computer,160
computers,137
con,124
concept,146
concern,130
concerned,138
concerns,187
concert,144
conclusion,127
concrete,125
condition,136
conditions,133
condom,130
condoms,127
conference,142
confidence,138
confident,134
confirm,157
confirmed,129
conflict,128
confused,151
confusing,132
confusion,124
congrats,153
congratulations,138
congress,135
connect,138
connected,133
connection,138
connections,123
conscious,127
consent,130
consequences,133
conservative,134
consider,165
considered,153
considering,148
consistent,124
consistently,125
console,123
conspiracy,139
constant,140
constantly,155
constitution,126
construction,133
contact,188
contacts,124
contain,138
content,150
contest,135
context,156
continue,152
continued,133
continues,130
contract,136
contribute,124
control,164
controlled,125
convenient,123
conversation,161
conversations,138
convince,140
convinced,143
cook,148
cooked,131
cookie,130
cookies,134
cooking,144
cool,177
cooler,126
cooperation,151
cop,143
cops,147
copy,148
core,134
corn,134
corner,147
corporate,133
correct,169
correctly,138
corrupt,130
corruption,125
cost,157
costs,143
costume,135
couch,141
cough,124
could,199
could've,132
couldn't,175
council,123
count,154
counter,139
counting,132
countries,154
country,173
counts,132
county,138
couple,174
couples,127
courage,127
course,173
courses,125
court,149
cousin,148
cousins,133
cover,160
coverage,129
covered,146
covering,126
covers,131
cow,136
coworker,134
coworkers,132
cows,126
cox,128
coz,126
crack,139
cracked,124
craft,129
crap,153
crappy,129
crash,138
crazy,171
cream,152
